symptom,grangerCausalityPVal,mmcorrelation,time_lag,abscorrelation,ccfauc,ccf_lag1,grangerCasualityFtest,state
symptom:Abdominal obesity,0.39391263973066437,10.409674517205866,-30.0,51.34809664848398,0.30771453757358636,0.07730186305036835,0.7314319164696538,AL
symptom:Abdominal pain,0.06120728841705443,8.024976708889152,24.0,63.198562372183275,0.2950584278997659,-0.2864099307869594,3.5626869164479626,AL
symptom:Acne,0.5085909475821342,8.25081470375234,-92.0,41.26199598424384,0.227665729640097,-0.3794420758214878,0.43926498888842486,AL
symptom:Actinic keratosis,0.6517885957408989,8.513425136079293,23.0,55.44483966403636,0.25379249431310424,-0.06439833996804456,0.20454965545793818,AL
symptom:Acute bronchitis,0.008474363663683777,6.342568699731904,-97.0,61.66690201566571,0.21821870220234413,-0.7594770399395054,7.135210383708358,AL
symptom:Adrenal crisis,0.036102574637034916,4.817940590557047,-69.0,41.25006998924559,0.15953958612600533,0.2965496537086678,4.4799586182867115,AL
symptom:Ageusia,0.0006646549847499543,6.016026351791171,-56.0,79.9421028681636,0.22444400658105232,-0.7013651684153617,12.135328809239477,AL
symptom:Alcoholism,0.9701779031054204,5.770746232852736,-76.0,41.2378907866096,0.20056209126606622,0.06643388394015481,0.0014027677313030499,AL
symptom:Allergic conjunctivitis,0.45498061282457725,5.358345062555854,-95.0,66.99457575158202,0.12535161137176054,-0.04307752457551395,0.5614017412892786,AL
symptom:Allergy,0.3248858429178503,7.333087992753954,-95.0,50.107839806465996,0.21531650492137713,-0.5167309009243999,0.9761785548473635,AL
symptom:Amblyopia,0.04879725767910728,9.316036639857016,11.0,35.647539413803045,0.3578906426869229,0.4180369377420359,3.952414700990677,AL
symptom:Amenorrhea,0.4599158785628199,10.549064454870424,-80.0,37.15304849796064,0.3324328851094728,-0.0953111036639882,0.5491932463232537,AL
symptom:Amnesia,0.20351575512418915,8.606848617463077,14.0,53.68632079644178,0.2886901809651475,0.3141200783262361,1.6325194526765545,AL
symptom:Anal fissure,0.9157052402438816,7.068356726068444,-54.0,64.0785854732423,0.2792405016296063,0.14589181517110905,0.011244611675378373,AL
symptom:Anaphylaxis,0.38849238277865683,5.276919939855596,-22.0,56.13938229225166,0.15773414648850304,0.005969402953317271,0.748410134266266,AL
symptom:Anemia,0.005810314140163713,12.218407876835663,6.0,47.47923683734495,0.441906951502541,0.9441478932415706,7.85270582507066,AL
symptom:Angina pectoris,0.008878384019968566,4.445660754296665,3.0,81.79825791808705,0.14092492690484515,0.6209469829428444,7.047331619301943,AL
symptom:Angioedema,0.6939247951879168,2.8166699941056796,18.0,59.754293423482736,0.08346544098073888,-0.04123148517863573,0.15552375201279614,AL
symptom:Angular cheilitis,0.2526321126174599,9.193049970211497,-26.0,31.638849660815133,0.35904229967232637,0.3668007149240413,1.3197868551208671,AL
symptom:Anosmia,0.00027702924643592774,6.475221872977719,-56.0,76.69874149399564,0.24131550196193233,-0.7190078888169857,13.931285650829132,AL
symptom:Anxiety,0.01820328469432751,8.394080945739791,7.0,64.05099117795262,0.2884651653656764,0.490404660997827,5.7126928380275706,AL
symptom:Aphasia,0.5974381610976776,1.1495082687996132,9.0,70.5953458019222,0.00473093901422875,0.01852224609801155,0.28018267547768244,AL
symptom:Aphonia,0.7971145271449647,8.64214402740542,12.0,49.59761635509681,0.3165813077152219,0.00719839142091061,0.0663494855286959,AL
symptom:Apnea,0.5960984502008752,6.303998007588744,0.0,55.092547766279864,0.24671680932184764,-0.07807431986990387,0.28223787956594554,AL
symptom:Arthralgia,2.586494143330565e-06,7.15497654155496,-81.0,69.12330296953876,0.2604769629945569,-0.895359086847022,24.077451950586962,AL
symptom:Arthritis,0.9710010182447544,2.8335047882648037,-78.0,61.75897306560976,0.08052175718476554,-0.06730515898954748,0.001326367194718996,AL
symptom:Ascites,0.12350211873482667,9.418902479892765,-47.0,56.21576042641942,0.3412471095844505,0.29228999106344666,2.401808003105771,AL
symptom:Asperger syndrome,0.21111418718773436,5.018784552679775,17.0,48.74859321703388,0.17654952246370165,0.29312552455512453,1.578505759758666,AL
symptom:Asphyxia,0.7698158311746253,1.3118410961279392,-86.0,54.60259958063143,0.027882587453705556,-0.018002147439745153,0.08596401664097485,AL
symptom:Asthma,0.8529369387092002,3.9334110708705046,-96.0,92.66335466454794,0.11670511065513803,-0.0524182253369494,0.03449291330960481,AL
symptom:Astigmatism,0.49613155362125205,5.953697497765863,-81.0,37.16334449425581,0.2338829247128,-0.12680819442825442,0.4656842491868682,AL
symptom:Ataxia,0.009750431617626548,9.567558087578195,-50.0,38.74339649754797,0.3469099977658624,0.6192621760500447,6.871005230805027,AL
symptom:Atheroma,1.8283701093490264e-05,8.984063151623474,-101.0,53.80856495187797,0.29664321566875185,0.9131017277330935,19.723248513938408,AL
symptom:Attention deficit hyperactivity disorder,0.02676250288438199,11.317832405196414,7.0,52.99873877546999,0.410728424228971,0.8261227798706372,5.013507715869554,AL
symptom:Auditory hallucination,0.17091372673108143,7.698845695561513,-68.0,32.075116243686445,0.26928424746797736,0.4963248436103651,1.8947406127932713,AL
symptom:Autoimmune disease,0.5746689405456333,2.16884404622883,9.0,78.33198461075663,0.044510995931950625,0.008655021738296798,0.3164488679617506,AL
symptom:Avoidant personality disorder,0.26389613073330764,7.955683397875087,13.0,47.62509390202986,0.29242647618574785,0.4576655744216067,1.2585077258814978,AL
symptom:Back pain,0.05568533926959497,11.685279149098667,-27.0,57.37601008274661,0.4417261183482736,-0.4384231318869478,3.724530434423038,AL
symptom:Bacterial vaginosis,0.2841172742695316,9.190672475424488,25.0,59.07980215839489,0.3537561103663986,-0.31431102632845054,1.1563340056904485,AL
symptom:Balance disorder,0.5603797791713561,9.454572162645217,-101.0,33.88388716633021,0.35733646112600537,0.19208445040213995,0.3407094347808164,AL
symptom:Beau's lines,0.5414332240531416,8.4187988717605,15.0,39.91299438592685,0.303382414544236,0.2687681523681862,0.3747646266244291,AL
symptom:Bell's palsy,0.2678090076661997,2.5853158676339163,-57.0,89.81622368302237,0.06487090725700469,-0.13362915943857434,1.2379812302950266,AL
symptom:Biliary colic,0.44784852592309277,12.554539643530932,-27.0,43.92876205460856,0.4827683137225698,-0.03532916294310695,0.5794186629021688,AL
symptom:Binge eating,0.031010146882224237,9.260632400580874,-46.0,52.038408701367736,0.27523476946492403,0.6299960902591577,4.7498472834228425,AL
symptom:Bleeding,0.8471504178033262,8.984982892889063,-27.0,47.16645620903697,0.34492902240520884,0.008190923018002394,0.037295621556772074,AL
symptom:Bleeding on probing,0.43516140310966234,8.236775767053919,2.0,39.049358738407626,0.3215173983467381,0.30494116770926816,0.6125998446640112,AL
symptom:Blepharospasm,0.7746351709377335,12.467173718770646,5.0,50.829762202105584,0.47497004312856994,0.29419901309399066,0.0823019783412704,AL
symptom:Bloating,0.8616722704542308,11.546406722377506,26.0,68.03623516233395,0.39533792757591313,-0.03173521191033046,0.030476006164261847,AL
symptom:Blood in stool,0.12583894175916235,6.483064780872134,-5.0,35.97787561925206,0.24417765383633347,-0.23082334810599914,2.371953757156203,AL
symptom:Blurred vision,0.16789392520825014,7.025543359131299,-81.0,45.2391057437282,0.2735581581853744,-0.21158716509012354,1.921949819035826,AL
symptom:Blushing,0.40719614545010385,2.687010883441849,8.0,103.55260816889316,0.028378598114104148,0.10548245847341031,0.6912208450746682,AL
symptom:Boil,0.7389266795643455,8.36422028596962,-28.0,42.97411140619428,0.247574689348483,-0.25732637559044846,0.11152370183407855,AL
symptom:Bone fracture,0.05976550809246136,8.328347173862259,-46.0,50.4298452172953,0.2766344028456054,0.371689490097487,3.603382358628488,AL
