,x,y,state,symptom,grangerCausalityPVal,abscorrelation,grangerselected
0,6.692495,0.84899855,AL,symptom:Abdominal obesity,0.3939126397306643,-0.2685555143498818,0.9316261208410918
1,8.678657,6.330882,AL,symptom:Abdominal pain,0.0612072884170544,0.4375650957021668,2.7934890047727854
2,1.1330725,-0.05586646,AL,symptom:Acute bronchitis,0.0084743636636837,0.34629974203983777,4.770709712465689
3,4.394125,-0.3346354,AL,symptom:Adrenal crisis,0.0361025746370349,-0.8702554737602023,3.3213910966009683
4,0.82702774,0.02957533,AL,symptom:Ageusia,0.0006646549847499,1.4352439469061757,7.3162424718670085
5,2.0950637,-0.9704114,AL,symptom:Allergic conjunctivitis,0.4549806128245772,0.6637539515431872,0.7875004701157369
6,2.497774,-0.20141768,AL,symptom:Allergy,0.3248858429178503,-0.3424573287026747,1.1242814109164903
7,3.983556,-1.6886109,AL,symptom:Amenorrhea,0.4599158785628199,-1.1143801674451852,0.7767116789117674
8,4.8277698,1.1781355,AL,symptom:Anaphylaxis,0.3884923827786568,0.01693753044622868,0.9454817161139939
9,12.068794,3.1394582,AL,symptom:Anemia,0.0058103141401637,-0.4990849900466857,5.148120640704994
10,6.9015527,4.0558276,AL,symptom:Angina pectoris,0.0088783840199685,1.5458446074002163,4.724135718271656
11,0.85358363,-0.041482363,AL,symptom:Anosmia,0.0002770292464359,1.2419853555947273,8.191387474549325
12,10.21731,3.240942,AL,symptom:Anxiety,0.0182032846943275,0.4883578292866398,4.006153223473228
13,10.001671,4.8673325,AL,symptom:Aphonia,0.7971145271449647,-0.3728594498634631,0.22675691271751347
14,8.368537,5.0591745,AL,symptom:Apnea,0.5960984502008752,-0.04543904203095893,0.5173494406575135
15,0.5059211,0.07722519,AL,symptom:Arthralgia,2.586494143330565e-06,0.7905960687075735,12.86520721182763
16,6.538363,0.31679532,AL,symptom:Ascites,0.1235021187348266,0.021488589953140715,2.0914969673136796
17,5.3903437,-1.0725794,AL,symptom:Atheroma,1.8283701093490264e-05,-0.12194630759678718,10.909500545610781
18,11.987432,3.1806114,AL,symptom:Attention deficit hyperactivity disorder,0.0267625028843819,-0.17020052536796978,3.620753517289344
19,8.96564,7.3917933,AL,symptom:Back pain,0.0556853392695949,0.09062310451487599,2.888038375498816
20,9.808428,6.232071,AL,symptom:Bacterial vaginosis,0.2841172742695316,0.1921450807738014,1.2583681884874118
21,10.21598,3.7258923,AL,symptom:Beau's lines,0.5414332240531416,-0.9499263206884369,0.6135355367599075
22,1.6655473,-1.6276693,AL,symptom:Bell's palsy,0.2678090076661997,2.0236022761127677,1.3174812104946203
23,6.2472644,-0.5130238,AL,symptom:Binge eating,0.0310101468822242,-0.2274226526317352,3.4734408092726707
24,6.600808,0.8299205,AL,symptom:Bleeding,0.8471504178033262,-0.5177223038217553,0.16587701119119158
25,11.359659,5.6400504,AL,symptom:Bloating,0.8616722704542308,0.725822160146638,0.14888027730035677
26,5.830176,4.7156677,AL,symptom:Blushing,0.4071961454501038,2.8420970441010684,0.8984602797776018
27,6.0578127,-0.02908974,AL,symptom:Bone fracture,0.0597655080924613,-0.32327034800198146,2.81732657218308
28,9.776243,3.124479,AL,symptom:Bone tumor,0.0580846403829501,-0.814056032151291,2.8458540152564877
29,11.148992,5.7774506,AL,symptom:Bradycardia,0.3155996408569267,0.9843508505510797,1.1532808279802456
30,6.8333135,1.6730636,AL,symptom:Braxton Hicks contractions,0.0819544091858695,-0.43879053512476257,2.5015921718733325
31,1.081537,-0.04071873,AL,symptom:Bronchitis,0.0057631214866144,0.5434283024528106,5.156276026303085
32,2.0675852,-0.2666913,AL,symptom:Burning Chest Pain,0.0920603679171897,0.513355409415223,2.3853107441075485
33,8.131712,7.539797,AL,symptom:Burning mouth syndrome,0.0049079553038164,0.3726203124646765,5.316897858976813
34,6.768005,5.774526,AL,symptom:Candidiasis,0.0298468390510986,1.0822714313251085,3.5116763391862955
35,7.846071,6.427541,AL,symptom:Canker sore,0.1161767795410224,1.0031827973147067,2.152642286366221
36,6.9800463,9.346657,AL,symptom:Cardiac arrest,9.229714541606994e-11,1.0445625222296102,23.10600790213451
37,4.458017,-0.99370563,AL,symptom:Cataplexy,0.030600699228564,0.34429510936743785,3.4867324196782064
38,12.708538,4.5057154,AL,symptom:Cataract,0.1601963037999829,-1.1139404426394808,1.8313553170236452
39,8.203785,4.088042,AL,symptom:Cheilitis,0.1712020092478317,0.4384072575117903,1.7649110790826656
40,7.95577,7.190424,AL,symptom:Chest pain,0.0104293773187143,0.04805309498676975,4.563128712737796
41,7.2103763,8.911227,AL,symptom:Chills,4.980287716302258e-06,0.4980516482959326,12.210022894238703
42,4.2700787,-1.6814843,AL,symptom:Chronic pain,0.0777100003330757,0.17054593624778422,2.5547713254748494
43,12.044202,4.90521,AL,symptom:Clouding of consciousness,0.8945022819321458,0.11001693006464659,0.11148782496658279
44,0.65011907,-0.9437241,AL,symptom:Common cold,0.0150196311338778,1.9239808855735745,4.198397191278082
45,6.1492205,0.36898497,AL,symptom:Confusion,0.5789336981286577,-0.5538022983431914,0.5465673189700728
46,4.9808702,-1.107073,AL,symptom:Congenital heart defect,0.0008526094671519,-0.00784519838892003,7.067208949833798
47,4.1175447,-1.337607,AL,symptom:Convulsion,0.2700263793572661,0.11454041212358723,1.309235623433018
48,0.69692385,0.06952959,AL,symptom:Cough,0.0001463425872854,0.4312280389671343,8.829560196704312
49,4.4550357,-1.4395957,AL,symptom:Crackles,0.2507444185535077,0.03976303939646766,1.3833211113967698
50,7.898847,7.227772,AL,symptom:Cramp,0.0489136229611741,0.3512509641579167,3.0176993331367177
51,5.346146,1.512595,AL,symptom:Croup,0.99210542609104,0.602492653372384,0.007925901042738664
52,11.394331,3.0547316,AL,symptom:Cyanosis,0.0411855773764033,-0.05774265428210866,3.189667147592781
53,10.502506,4.878982,AL,symptom:Dandruff,0.5247852422206543,-0.23225027577250745,0.6447661625162244
54,10.6974325,5.428492,AL,symptom:Delayed onset muscle soreness,0.7952896735073555,-0.5897369296768551,0.22904886150249623
55,6.3321037,-0.3831621,AL,symptom:Depression,0.0283978836251116,0.22196256153354124,3.5614406568342973
56,10.181414,5.2260675,AL,symptom:Dermatitis,0.3350457700123905,0.5814057111588069,1.0934881295870176
57,4.378093,-1.7333513,AL,symptom:Developmental disability,0.0275182383710601,-0.45209261947541507,3.5929062806453955
58,11.60952,3.8646283,AL,symptom:Diabetes,0.1479819955146621,-0.43047064205980456,1.9106646645461767
59,11.856108,4.0811987,AL,symptom:Diabetic ketoacidosis,0.1946996667312524,-0.8755767030006415,1.6362970783093391
60,9.672742,6.278244,AL,symptom:Diarrhea,0.1787207911327769,0.09828941526746725,1.721930517010475
61,9.445514,6.7487755,AL,symptom:Dizziness,0.0225307655507327,0.7781872915578869,3.792873545943816
62,10.737257,4.2815924,AL,symptom:Dry eye syndrome,0.2894299227841013,-0.050553175141021416,1.2398420741929748
63,5.9537525,0.049494654,AL,symptom:Dysautonomia,0.1513278335991839,-0.6233401037716493,1.888306712124893
64,7.382386,8.823662,AL,symptom:Dysgeusia,1.602670573109508e-05,1.4073394788820082,11.041254118944067
65,7.01647,1.7004972,AL,symptom:Dysmenorrhea,0.1036509608870168,0.7976806336563507,2.266726169646293
66,7.5097666,8.069838,AL,symptom:Ear pain,0.0002124064511636,-0.13871518639560962,8.45700889634775
67,10.062642,4.666615,AL,symptom:Edema,0.4720486640235523,0.007385498118523736,0.7506731969663871
68,7.293166,8.125493,AL,symptom:Encephalopathy,0.000111390189489,0.2334226127356593,9.102471299977461
69,9.71303,3.6986794,AL,symptom:Epilepsy,0.0269110940136418,0.8600932496901377,3.615216660530796
70,8.640696,4.6002474,AL,symptom:Epiphora,0.9353015603930038,-1.0493201054602543,0.06688627720879502
71,10.184036,6.0494223,AL,symptom:Erectile dysfunction,0.1509470217818654,0.501177844913276,1.8908263528558866
